average_temperature,elapsed,execution_interval,heater_on,t1,t2,t3,time,time_t1,time_t2,time_t3
22.9995,2.7072298526763916,3,False,22.812,23.062,22.937,1619125292047928881,1619125290250795633,1619125291128133055,1619125292047924104
22.9995,2.627011299133301,3,False,22.75,23.062,22.937,1619125294968122632,1619125293208166109,1619125294088147113,1619125294968117077
23.0625,2.7465999126434326,3,False,22.687,23.125,23.0,1619125298088146750,1619125296327927074,1619125297208099950,1619125298088141213
23.0625,2.626244306564331,3,True,22.687,23.125,23.0,1619125300968106896,1619125299208149189,1619125300088283237,1619125300968101822
23.0625,2.6658267974853516,3,True,22.75,23.125,23.0,1619125304008123650,1619125302248138454,1619125303128150026,1619125304008117798
23.0625,2.9454195499420166,3,True,22.75,23.125,23.0,1619125307288114524,1619125305448237522,1619125306368495623,1619125307288109172
23.0625,2.6653096675872803,3,True,22.75,23.125,23.0,1619125310008104971,1619125308248151646,1619125309128136283,1619125310008099731
23.0625,2.7049624919891357,3,True,22.75,23.125,23.0,1619125313048161373,1619125311288150355,1619125312168115867,1619125313048155670
23.1245,2.6645760536193848,3,True,22.75,23.187,23.062,1619125316008131285,1619125314248139239,1619125315128139459,1619125316008125600
23.1245,2.7041537761688232,3,True,22.75,23.187,23.062,1619125319048105314,1619125317288152740,1619125318168149612,1619125319048099944
23.1875,2.663823127746582,3,True,22.75,23.25,23.125,1619125322008133706,1619125320248135086,1619125321127957632,1619125322008128336
23.2495,2.623389482498169,3,True,22.75,23.312,23.187,1619125324968098405,1619125323208185941,1619125324088122638,1619125324968093460
23.281,2.7429933547973633,3,True,22.812,23.312,23.25,1619125328088138691,1619125326328171903,1619125327208120309,1619125328088132876
23.3435,2.7026467323303223,3,False,22.75,23.375,23.312,1619125331048117259,1619125329288128647,1619125330168128890,1619125331048112093
23.4375,2.6623120307922363,3,False,22.812,23.5,23.375,1619125334008134246,1619125332248164679,1619125333128161946,1619125334008129116
23.531,2.78166127204895,3,False,22.812,23.562,23.5,1619125337127904372,1619125335368128979,1619125336248168657,1619125337127900002
23.625,2.6616017818450928,3,False,22.812,23.625,23.625,1619125340008096463,1619125338248160875,1619125339128123115,1619125340008090852
23.7185,2.7013261318206787,3,False,22.812,23.687,23.75,1619125343048218744,1619125341287514915,1619125342168139078,1619125343048212670
23.781,2.660856008529663,3,False,22.812,23.75,23.812,1619125346008113609,1619125344248163574,1619125345128170787,1619125346008108034
23.9375,2.780456781387329,3,False,22.812,23.875,24.0,1619125349128115358,1619125347367950706,1619125348248163088,1619125349128109618
24.0625,2.6601696014404297,3,False,22.812,24.0,24.125,1619125352008111594,1619125350248124038,1619125351128138428,1619125352008106223
24.156,2.6997716426849365,3,False,22.812,24.062,24.25,1619125355048116529,1619125353288185739,1619125354168158025,1619125355048111288
24.281,2.7395169734954834,3,False,22.812,24.187,24.375,1619125358088224788,1619125356328165304,1619125357208114614,1619125358088219084
24.406,2.699075698852539,3,False,22.812,24.312,24.5,1619125361048108656,1619125359288167103,1619125360168109845,1619125361048103730
24.5,2.6587231159210205,3,False,22.875,24.375,24.625,1619125364008121758,1619125362248133897,1619125363128167829,1619125364008116073
24.625,2.778304100036621,3,False,22.812,24.5,24.75,1619125367128110512,1619125365368127289,1619125366248146189,1619125367128105086
24.7185,2.6580514907836914,3,False,22.875,24.562,24.875,1619125370008138958,1619125368248157481,1619125369128117222,1619125370008133884
24.8435,2.697653293609619,3,False,22.875,24.687,25.0,1619125373048147167,1619125371288142679,1619125372168135406,1619125373048141686
24.9685,2.657238721847534,3,False,22.812,24.812,25.125,1619125376008108470,1619125374248140432,1619125375128179462,1619125376008102952
